Importer1,Importer2,flow1,flow2
Unitied Kingdom,China,311.4,107.6
Unitied Kingdom,USA,304.4,294
Unitied Kingdom,Japan,62.2,36.4
Unitied Kingdom,Germany,449.8,207.8
Unitied Kingdom,India,46.6,27.6
Unitied Kingdom,France,187.9,122.8
Unitied Kingdom,Brazil,15.8,12.9
Unitied Kingdom,Italy,127.1,62.4
Unitied Kingdom,Canada,68.6,34.3
Unitied Kingdom,Korea,68.6,34.3
China,USA,717.4,2550.8
China,Japan,806.3,824.7
China,Germany,431.9,576.7
China,India,78.4,64.7
China,France,138.8,276.9
China,Brazil,305.2,159.7
China,Italy,96.6,165.7
China,Canada,121.3,269.5
China,Korea,889.3,488.8
USA,Japan,702.7,376.5
USA,Germany,621.7,366.7
USA,India,261.2,132.6
USA,France,258.7,203.6
USA,Brazil,150.5,153.7
USA,Italy,258.3,86
USA,Canada,1542.7,1120.8
USA,Korea,375.4,259.7
Japan,Germany,116.7,132.6
Japan,India,25.8,55.1
Japan,France,53.1,54.5
Japan,Brazil,36.3,22.9
Japan,Italy,48.7,21.6
Japan,Canada,52.8,62.4
Japan,Korea,141.6,250.7
Germany,India,48.3,62.1
Germany,France,371.3,485.1
Germany,Brazil,42.7,52.3
Germany,Italy,308.9,364.3
Germany,Canada,24.4,69.8
Germany,Korea,58.2,100.4
India,France,18.7,31.3
India,Brazil,20.4,18.9
India,Italy,22.3,27.2
India,Canada,19.6,17.3
India,Korea,73.9,24.8
France,Brazil,485.1,23.5
France,Italy,229.7,193.8
France,Canada,16.7,26.8
France,Korea,20,29.5
Brazil,Italy,22.9,18.3
Brazil,Canada,11.6,17.8
Brazil,Korea,27.8,19.4
Italy,Canada,8.8,31.8
Italy,Korea,19.6,29.6
Canada,Korea,35.5,24.3
